idtov	name
8UE	Сверло БОШ 1 SDS-MAX 18*200	1 618 596 424 
8UF	Сверло БОШ 1 SDS-MAX 22* 800  1 618 596 431 
8UG	Сверло БОШ 1 SDS-MAX 24*400	1 618 596 433 
8UH	Сверло БОШ 1 SDS-MAX 25* 800	1 618 596 436
8UI	БОШ	1 Сверло SDS-MAX 32* 450  1 618 596 443 
8UJ	Сверло БОШ 1 SDS-MAX 32* 800  1 618 596 444 
8UK	ЯЯ БОШ  25 Бита 25мм Phillips 2 Tin  2 607 002 488
 AO	УЗО ВД1-63 4Р 63А 30мА ИЭК
8UL	ЯЯ БОШ	3 Бита 25мм Phillips 2 Tin	2 607 001 54
8UM	Бита БОШ 3  25мм Phillips XH2	2 607 001 511 
8UN	Бита БОШ 3  25мм Phillips PZ1 TIN  2 607 001 591  
8UO	Коробка расп. 240*195*90 откр.уст. 5 входов 41271 
8UP	Бита БОШ 3  25мм Pozidriv XH2	2 607 001 558 
8UQ	БОШ	3 Бита 49мм Phillips 2 TIN	2 607 001 552  
8UR	Бита БОШ 3 49мм Phillips 2 XH	2 607 001 528 
8US	Бита БОШ 3 51мм Phillips 2 XH	2 607 001 522 
8UT	Бита БОШ 3 51мм Pozidriv 2 XH	2 607 001 571 
8UU	Держатель потолочный DR	
 HZ	уд.Уст-во переключения тарифов УПТ 12-100	
8UV	Консоль VC100 
8UW	Бита БОШ 3 89мм Phillips 2 XH	2 607 001 535 
8UX	Бита БОШ 3 PH 1*2*3 25 TIN SET  2 607 001 754 
8UY	БОШ	3 Бита PH 1*2*3 25 XH SET  2 607 001 752
8UZ	ЯЯ БОШ	3 Бита PZ 1*2*3 25 XH SET  2 607 001 753 
8V0	Набор принадлеж. БОШ TITANIUM+  70  2 607 019 329 
8V1	Набор принадлеж. БОШ ТITANIUM+  50  Х Line  
8V2	Набор принадлеж. БОШ TITANIUM+ 100  2 607 019 330 
8V3	Набор принадлеж. 103 БОШ  X-LINE 2 607 019 331
8V4	Лопата зубило SDS+ 40*250  БОШ  2 608 690 101 
5CU	Лампа Varta 708.000.402 ВР2  4.0V 0.83 д/фонаря	
8V5	БОШ	8 Пилка лобз. SORT.T- ХВОС  2 607 019 458	
8V6	БОШ	8 Пилка лобз. SET U-XB  2 607 019 459 
8V7	Сверло БОШ PROMOLINE  5 бетон.  2 607 019 444 
8V8	БОШ Набор бит торц. клап. 46 част.
8V9	Фреза БОШ SET 8мм-ХВ 6 НМ- 2 607 019 463
8VA	Фреза БОШ SET 8мм-ХВ 12 НМ-2 607 019 466
8VB	БОШ	9 Бит +универс. держ.  2 607 019 454  
8VC	ЯЯ Компресс. установка К  3 380V
8VD	Контактор КТИ-6400 400А 400V ИЭК
8VE	Лоток проволочный 35*100 ИЭК
5CV	Лампа Varta 709.000.402 ВР2  5.2V 0.87 д/фонаря	
8VF	Лоток проволочный 60*100 ИЭК
8VG	Мех. блокировки для КМИ (09А-32А) 
8VH	Площадка фиксаторная CR	
8VI	Поворот открывающийся на 90 CI20G ИЭК 
8VJ	ФОРТУНА Рамка 2м  РГ-2-ФБ вертик бел  
8VK	Реле тепловое  РТИ 1304 0,4-0,63А ИЭК 
8VL	Соединитель безвинтовой CF
8VM	Соединитель перфорированный CP  
8VN	Соединительный комплект двойной MDS 6*20
8VO	Соединительный комплект одинарный MS 6*20	
5CW	ЯЯ Станок отрезной СОМ 400Т 
8VP	Шпилька резьбовая 8*2000 цинк	
8VQ	Поворот на 90 труба-труба СRS 25G ИЭК 
